name,price,description
IPHONE 14 PRO MAX,Price: $1099.99,"Description: The most advanced iPhone ever, with a new A16 Bionic chip, ProMotion display, and all-new 48MP main camera."
IPHONE 11 PRO 256GB MEMORY,Price: $599.99,Description: Introducing the iPhone 11 Pro. A transformative triple-camera system that adds tons of capability without complexity. An unprecedented leap in battery life
