name,price,description
TAG HEUER CONNECTED CALIBRE E4,Price: $2499.99,"Description: A luxury smartwatch with a Wear OS operating system, advanced fitness tracking features, and up to 1 day of battery life"
CANNON EOS 80D DSLR CAMERA,Price: $929.99,"Description: Characterized by versatile imaging specs, the Canon EOS 80D further clarifies itself using a pair of robust focusing systems and an intuitive design"
HUAWEI WATCH GT RUNNER,Price: $299.99,Description: A lightweight and durable GPS running watch with advanced fitness tracking features and up to 14 days of battery life
